tool		SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025	SPF Thu Nov 20 01:40:01 PM MST 2025
run set		String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jdart-regression/startswith.yml	true	true	2.51814	1.0219597720000593	117.186560	true	3.137292	1.3060023040000033	130.166784
jdart-regression/OverapproximationString01.yml	true	true	2.841725	1.0693782920000103	129.257472	true	3.047237	1.2192948360000173	134.410240
securibench/Factories3.yml	true	true	5.155095	1.4324384740000369	140.890112	true	6.809824	1.898963813000023	158.687232
securibench/Pred4.yml	true	true	5.325607	1.5126871119999805	137.687040	true	6.653266	1.7954393680000749	162.459648
securibench/Datastructures1.yml	true	true	5.480323	1.620019047000028	142.475264	true	7.060852	2.0471209830000134	154.935296
securibench/Collections3.yml	true	true	5.490341	1.620289795000076	136.101888	true	6.744042	2.00346574699995	156.143616
securibench/Collections14.yml	true	true	7.604702	2.0208407290000423	248.942592	true	9.087535	2.4701347680000936	270.082048
securibench/Aliasing5.yml	true	true	5.801854	1.7855934570000045	150.044672	true	6.699012	2.0305449429999953	157.671424
securibench/Basic33.yml	true	true	5.791076	1.7494070789999796	133.574656	true	6.983626	2.0731724949999943	157.736960
securibench/Aliasing6.yml	true	true	7.641372	2.076852199999962	247.939072	true	7.84449	2.354706395999983	155.242496
securibench/Collections1.yml	true	true	5.494543	1.6293000549999306	140.455936	true	7.097836	2.045190747999982	158.281728
securibench/Pred8.yml	true	true	5.977033	1.6945642619999717	143.724544	true	6.957243	2.0338397939999595	168.017920
securibench/Basic17.yml	true	true	5.702892	1.61329631600006	139.034624	true	6.764065	1.9307245369999464	157.265920
